web-scraper-order,web-scraper-start-url,pagination,url,url-href
"1724168237-25","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","25. Thang Long Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2486466-Reviews-Thang_Long_Art_Gallery-Hanoi.html"
"1724168237-26","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","26. Bảo Tàng Đường Hồ Chí Minh","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8141204-Reviews-Ho_Chi_Minh_Trail_Museum-Hanoi.html"
"1724168237-27","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","27. Klimt Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15295960-Reviews-Klimt_Art_Gallery-Hanoi.html"
"1724168237-28","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","28. YNOT","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7224433-Reviews-YNOT-Hanoi.html"
"1724168237-29","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","29. D&C Art Gallery HQ","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16849966-Reviews-D_C_Art_Gallery_HQ-Hanoi.html"
"1724168237-30","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","","30. Red Moon Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1908755-Reviews-Red_Moon_Gallery-Hanoi.html"
"1724168241-31","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","31. Geological Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d590925-Reviews-Geological_Museum-Hanoi.html"
"1724168241-32","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","32. Phòng Tranh Á Đông","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10092398-Reviews-A_Dong_Art_Gallery-Hanoi.html"
"1724168241-33","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","33. Ha Noi Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2418839-Reviews-Ha_Noi_Gallery-Hanoi.html"
"1724168241-34","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","34. Bảo tàng Nhân học","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8404099-Reviews-Museum_of_Anthropology-Hanoi.html"
